Age,From State,To State,Probability
43,31.00000,74.00000,0.13043
43,31.00000,23.00000,0.04348
43,3.00000,2.00000,0.38583
43,3.00000,18.00000,0.05512
43,3.00000,17.00000,0.22047
43,3.00000,3.00000,0.03937
43,3.00000,16.00000,0.10236
43,3.00000,14.00000,0.07874
43,3.00000,15.00000,0.10236
43,3.00000,13.00000,0.01575
43,4.00000,19.00000,0.09143
43,4.00000,21.00000,0.13143
43,4.00000,3.00000,0.50286
43,4.00000,20.00000,0.15429
43,4.00000,18.00000,0.06286
43,4.00000,2.00000,0.00571
43,4.00000,23.00000,0.00571
43,4.00000,22.00000,0.04571
43,64.00000,92.00000,0.48148
43,64.00000,52.00000,0.33333
43,64.00000,91.00000,0.04630
43,64.00000,53.00000,0.11111
43,64.00000,51.00000,0.02778
43,14.00000,51.00000,0.20243
43,14.00000,50.00000,0.19838
43,14.00000,9.00000,0.42915
43,14.00000,52.00000,0.01619
43,14.00000,49.00000,0.06073
43,14.00000,10.00000,0.08907
43,14.00000,48.00000,0.00405
43,16.00000,11.00000,0.33778
43,16.00000,55.00000,0.20000
43,16.00000,53.00000,0.06667
43,16.00000,10.00000,0.15111
43,16.00000,54.00000,0.23556
43,16.00000,52.00000,0.00444
43,16.00000,56.00000,0.00444
43,72.00000,61.00000,0.39655
43,72.00000,94.00000,0.43678
43,72.00000,60.00000,0.12644
43,72.00000,62.00000,0.04023
43,13.00000,9.00000,0.32271
43,13.00000,47.00000,0.13147
43,13.00000,48.00000,0.21912
43,13.00000,49.00000,0.16335
43,13.00000,8.00000,0.13944
43,13.00000,46.00000,0.01594
43,13.00000,50.00000,0.00797
43,69.00000,58.00000,0.27703
43,69.00000,93.00000,0.47973
43,69.00000,57.00000,0.22297
43,69.00000,94.00000,0.02027
43,19.00000,13.00000,0.43421
43,19.00000,12.00000,0.10088
43,19.00000,60.00000,0.20175
43,19.00000,59.00000,0.24561
43,19.00000,58.00000,0.01316
43,19.00000,57.00000,0.00439
43,22.00000,63.00000,0.16949
43,22.00000,64.00000,0.36158
43,22.00000,15.00000,0.42938
43,22.00000,14.00000,0.01130
43,22.00000,16.00000,0.01130
43,22.00000,65.00000,0.01130
43,22.00000,62.00000,0.00565
43,73.00000,62.00000,0.37725
43,73.00000,63.00000,0.10778
43,73.00000,94.00000,0.33533
43,73.00000,95.00000,0.14371
43,73.00000,61.00000,0.03593
43,18.00000,12.00000,0.46983
43,18.00000,58.00000,0.32759
43,18.00000,57.00000,0.12069
43,18.00000,59.00000,0.06897
43,18.00000,56.00000,0.00431
43,18.00000,13.00000,0.00862
43,9.00000,6.00000,0.45353
43,9.00000,36.00000,0.06691
43,9.00000,37.00000,0.17472
43,9.00000,38.00000,0.17844
43,9.00000,39.00000,0.10037
43,9.00000,40.00000,0.01487
43,9.00000,35.00000,0.00743
43,9.00000,7.00000,0.00372
43,52.00000,40.00000,0.32857
43,52.00000,87.00000,0.44286
43,52.00000,39.00000,0.08571
43,52.00000,41.00000,0.11429
43,52.00000,86.00000,0.01429
43,52.00000,88.00000,0.01429
43,62.00000,91.00000,0.59259
43,62.00000,50.00000,0.28704
43,62.00000,49.00000,0.04630
43,62.00000,51.00000,0.07407
43,57.00000,89.00000,0.41558
43,57.00000,45.00000,0.32468
43,57.00000,90.00000,0.07792
43,57.00000,46.00000,0.02597
43,57.00000,44.00000,0.15584
43,39.00000,28.00000,0.26230
43,39.00000,80.00000,0.27869
43,39.00000,79.00000,0.13115
43,39.00000,29.00000,0.21311
43,39.00000,30.00000,0.04918
43,39.00000,78.00000,0.04918
43,39.00000,27.00000,0.01639
43,6.00000,29.00000,0.09962
43,6.00000,4.00000,0.47510
43,6.00000,28.00000,0.15326
43,6.00000,26.00000,0.04598
43,6.00000,27.00000,0.14943
43,6.00000,30.00000,0.03831
43,6.00000,5.00000,0.03448
43,6.00000,25.00000,0.00383
43,79.00000,69.00000,0.19718
43,79.00000,96.00000,0.57746
43,79.00000,70.00000,0.22535
43,66.00000,54.00000,0.28767
43,66.00000,92.00000,0.47260
43,66.00000,55.00000,0.10959
43,66.00000,93.00000,0.10959
43,66.00000,53.00000,0.02055
43,80.00000,71.00000,0.30952
43,80.00000,96.00000,0.54762
43,80.00000,70.00000,0.14286
43,75.00000,65.00000,0.24096
43,75.00000,95.00000,0.50000
43,75.00000,64.00000,0.25904
43,67.00000,55.00000,0.33577
43,67.00000,93.00000,0.43066
43,67.00000,92.00000,0.05109
43,67.00000,56.00000,0.16058
43,67.00000,54.00000,0.02190
43,78.00000,96.00000,0.54082
43,78.00000,68.00000,0.27551
43,78.00000,69.00000,0.18367
43,68.00000,93.00000,0.43609
43,68.00000,56.00000,0.33083
43,68.00000,57.00000,0.22556
43,68.00000,55.00000,0.00752
43,40.00000,79.00000,0.14754
43,40.00000,29.00000,0.27869
43,40.00000,80.00000,0.32787
43,40.00000,30.00000,0.14754
43,40.00000,31.00000,0.01639
43,40.00000,81.00000,0.06557
43,40.00000,28.00000,0.01639
43,8.00000,34.00000,0.15356
43,8.00000,36.00000,0.10487
43,8.00000,5.00000,0.28090
43,8.00000,33.00000,0.08614
43,8.00000,6.00000,0.18727
43,8.00000,35.00000,0.16479
43,8.00000,37.00000,0.01873
43,8.00000,32.00000,0.00375
43,63.00000,51.00000,0.46087
43,63.00000,91.00000,0.34783
43,63.00000,92.00000,0.05217
43,63.00000,52.00000,0.06087
43,63.00000,50.00000,0.07826
43,43.00000,32.00000,0.26316
43,43.00000,82.00000,0.24561
43,43.00000,83.00000,0.15789
43,43.00000,31.00000,0.10526
43,43.00000,33.00000,0.08772
43,43.00000,81.00000,0.14035
43,15.00000,53.00000,0.16270
43,15.00000,52.00000,0.21825
43,15.00000,10.00000,0.50794
43,15.00000,51.00000,0.06746
43,15.00000,54.00000,0.03571
43,15.00000,9.00000,0.00397
43,15.00000,50.00000,0.00397
43,17.00000,55.00000,0.07018
43,17.00000,11.00000,0.35088
43,17.00000,56.00000,0.29386
43,17.00000,54.00000,0.00439
43,17.00000,57.00000,0.13596
43,17.00000,12.00000,0.14474
43,1.00000,1.00000,0.48485
43,1.00000,8.00000,0.09091
43,1.00000,6.00000,0.15152
43,1.00000,7.00000,0.21212
43,1.00000,5.00000,0.06061
43,71.00000,59.00000,0.11628
43,71.00000,60.00000,0.36628
43,71.00000,94.00000,0.48256
43,71.00000,61.00000,0.03488
43,56.00000,89.00000,0.44706
43,56.00000,88.00000,0.04706
43,56.00000,44.00000,0.32941
43,56.00000,43.00000,0.15294
43,56.00000,45.00000,0.02353
43,54.00000,88.00000,0.53261
43,54.00000,42.00000,0.30435
43,54.00000,43.00000,0.08696
43,54.00000,41.00000,0.03261
43,54.00000,87.00000,0.04348
43,5.00000,23.00000,0.16822
43,5.00000,3.00000,0.27103
43,5.00000,4.00000,0.28037
43,5.00000,24.00000,0.09813
43,5.00000,26.00000,0.05607
43,5.00000,25.00000,0.09813
43,5.00000,22.00000,0.02804
43,11.00000,42.00000,0.12411
43,11.00000,43.00000,0.17376
43,11.00000,7.00000,0.38652
43,11.00000,44.00000,0.14539
43,11.00000,45.00000,0.03191
43,11.00000,8.00000,0.13121
43,11.00000,41.00000,0.00709
43,49.00000,86.00000,0.21951
43,49.00000,37.00000,0.29268
43,49.00000,38.00000,0.26829
43,49.00000,85.00000,0.21951
43,76.00000,95.00000,0.58219
43,76.00000,66.00000,0.27397
43,76.00000,65.00000,0.11644
43,76.00000,67.00000,0.02740
43,12.00000,44.00000,0.05534
43,12.00000,8.00000,0.48221
43,12.00000,46.00000,0.18577
43,12.00000,45.00000,0.18182
43,12.00000,48.00000,0.00395
43,12.00000,47.00000,0.09091
43,7.00000,32.00000,0.13944
43,7.00000,29.00000,0.03586
43,7.00000,30.00000,0.08765
43,7.00000,5.00000,0.48207
43,7.00000,31.00000,0.13546
43,7.00000,4.00000,0.05578
43,7.00000,33.00000,0.05578
43,7.00000,34.00000,0.00797
43,77.00000,95.00000,0.30973
43,77.00000,67.00000,0.37168
43,77.00000,68.00000,0.10619
43,77.00000,66.00000,0.05310
43,77.00000,96.00000,0.15929
43,44.00000,83.00000,0.27381
43,44.00000,33.00000,0.23810
43,44.00000,32.00000,0.17857
43,44.00000,34.00000,0.07143
43,44.00000,82.00000,0.19048
43,44.00000,84.00000,0.04762
43,60.00000,90.00000,0.40351
43,60.00000,47.00000,0.08772
43,60.00000,48.00000,0.40351
43,60.00000,91.00000,0.05263
43,60.00000,49.00000,0.05263
43,35.00000,78.00000,0.02381
43,35.00000,77.00000,0.28571
43,35.00000,25.00000,0.16667
43,35.00000,26.00000,0.21429
43,35.00000,24.00000,0.09524
43,35.00000,76.00000,0.21429
43,74.00000,63.00000,0.30864
43,74.00000,95.00000,0.49383
43,74.00000,64.00000,0.19136
43,74.00000,62.00000,0.00617
43,34.00000,24.00000,0.27027
43,34.00000,76.00000,0.27027
43,34.00000,25.00000,0.24324
43,34.00000,26.00000,0.02703
43,34.00000,77.00000,0.05405
43,34.00000,75.00000,0.10811
43,34.00000,23.00000,0.02703
43,55.00000,88.00000,0.41748
43,55.00000,43.00000,0.33010
43,55.00000,89.00000,0.14563
43,55.00000,42.00000,0.08738
43,55.00000,44.00000,0.01942
43,20.00000,14.00000,0.20000
43,20.00000,13.00000,0.29412
43,20.00000,62.00000,0.12549
43,20.00000,61.00000,0.27843
43,20.00000,59.00000,0.01569
43,20.00000,60.00000,0.08627
43,47.00000,84.00000,0.27273
43,47.00000,34.00000,0.02597
43,47.00000,85.00000,0.31169
43,47.00000,36.00000,0.20779
43,47.00000,35.00000,0.16883
43,47.00000,37.00000,0.01299
43,10.00000,40.00000,0.16602
43,10.00000,6.00000,0.13900
43,10.00000,39.00000,0.06178
43,10.00000,7.00000,0.36680
43,10.00000,41.00000,0.15830
43,10.00000,42.00000,0.10039
43,10.00000,38.00000,0.00772
43,61.00000,90.00000,0.08046
43,61.00000,48.00000,0.10345
43,61.00000,49.00000,0.24138
43,61.00000,91.00000,0.50575
43,61.00000,50.00000,0.06897
43,21.00000,63.00000,0.23256
43,21.00000,14.00000,0.46047
43,21.00000,64.00000,0.00465
43,21.00000,62.00000,0.23721
43,21.00000,15.00000,0.03721
43,21.00000,61.00000,0.02791
43,2.00000,10.00000,0.07042
43,2.00000,1.00000,0.21127
43,2.00000,11.00000,0.09859
43,2.00000,2.00000,0.35211
43,2.00000,13.00000,0.08451
43,2.00000,12.00000,0.07042
43,2.00000,9.00000,0.08451
43,2.00000,8.00000,0.02817
43,65.00000,92.00000,0.55172
43,65.00000,53.00000,0.32759
43,65.00000,52.00000,0.03448
43,65.00000,54.00000,0.08621
43,27.00000,70.00000,0.24286
43,27.00000,19.00000,0.35714
43,27.00000,18.00000,0.15714
43,27.00000,20.00000,0.01429
43,27.00000,69.00000,0.18571
43,27.00000,68.00000,0.04286
43,51.00000,87.00000,0.35526
43,51.00000,86.00000,0.23684
43,51.00000,40.00000,0.07895
43,51.00000,38.00000,0.06579
43,51.00000,39.00000,0.26316
43,41.00000,30.00000,0.23729
43,41.00000,31.00000,0.30508
43,41.00000,80.00000,0.13559
43,41.00000,29.00000,0.03390
43,41.00000,81.00000,0.23729
43,41.00000,82.00000,0.05085
43,53.00000,87.00000,0.32632
43,53.00000,88.00000,0.20000
43,53.00000,41.00000,0.32632
43,53.00000,42.00000,0.09474
43,53.00000,40.00000,0.05263
43,70.00000,93.00000,0.10072
43,70.00000,59.00000,0.30216
43,70.00000,58.00000,0.16547
43,70.00000,94.00000,0.42446
43,70.00000,60.00000,0.00719
43,59.00000,90.00000,0.54630
43,59.00000,47.00000,0.30556
43,59.00000,48.00000,0.03704
43,59.00000,46.00000,0.11111
43,23.00000,65.00000,0.37500
43,23.00000,15.00000,0.21875
43,23.00000,16.00000,0.27500
43,23.00000,63.00000,0.00625
43,23.00000,66.00000,0.09375
43,23.00000,64.00000,0.01875
43,23.00000,17.00000,0.01250
43,24.00000,16.00000,0.32787
43,24.00000,66.00000,0.30328
43,24.00000,67.00000,0.25410
43,24.00000,17.00000,0.10656
43,24.00000,65.00000,0.00820
43,45.00000,33.00000,0.23729
43,45.00000,83.00000,0.30508
43,45.00000,34.00000,0.28814
43,45.00000,35.00000,0.03390
43,45.00000,84.00000,0.13559
43,48.00000,86.00000,0.02532
43,48.00000,85.00000,0.36709
43,48.00000,84.00000,0.07595
43,48.00000,37.00000,0.07595
43,48.00000,36.00000,0.41772
43,48.00000,38.00000,0.01266
43,48.00000,35.00000,0.02532
43,25.00000,17.00000,0.48148
43,25.00000,67.00000,0.18519
43,25.00000,68.00000,0.24074
43,25.00000,18.00000,0.04630
43,25.00000,66.00000,0.03704
43,25.00000,65.00000,0.00926
43,26.00000,69.00000,0.30000
43,26.00000,18.00000,0.41250
43,26.00000,19.00000,0.05000
43,26.00000,68.00000,0.17500
43,26.00000,17.00000,0.01250
43,26.00000,67.00000,0.03750
43,26.00000,70.00000,0.01250
43,50.00000,86.00000,0.38710
43,50.00000,39.00000,0.20968
43,50.00000,38.00000,0.30645
43,50.00000,85.00000,0.04839
43,50.00000,87.00000,0.03226
43,50.00000,37.00000,0.01613
43,38.00000,78.00000,0.22449
43,38.00000,79.00000,0.22449
43,38.00000,80.00000,0.10204
43,38.00000,27.00000,0.10204
43,38.00000,28.00000,0.30612
43,38.00000,29.00000,0.04082
43,81.00000,72.00000,0.55556
43,81.00000,96.00000,0.44444
43,58.00000,46.00000,0.39796
43,58.00000,90.00000,0.27551
43,58.00000,47.00000,0.05102
43,58.00000,45.00000,0.09184
43,58.00000,89.00000,0.18367
43,46.00000,34.00000,0.32857
43,46.00000,84.00000,0.28571
43,46.00000,35.00000,0.20000
43,46.00000,85.00000,0.04286
43,46.00000,83.00000,0.10000
43,46.00000,36.00000,0.04286
43,36.00000,78.00000,0.26316
43,36.00000,27.00000,0.15789
43,36.00000,26.00000,0.21053
43,36.00000,77.00000,0.21053
43,36.00000,76.00000,0.05263
43,36.00000,25.00000,0.10526
43,42.00000,82.00000,0.28205
43,42.00000,81.00000,0.28205
43,42.00000,31.00000,0.29487
43,42.00000,32.00000,0.11538
43,42.00000,30.00000,0.02564
43,28.00000,20.00000,0.29545
43,28.00000,19.00000,0.29545
43,28.00000,71.00000,0.06818
43,28.00000,72.00000,0.02273
43,28.00000,70.00000,0.20455
43,28.00000,21.00000,0.02273
43,28.00000,69.00000,0.09091
43,37.00000,79.00000,0.15000
43,37.00000,27.00000,0.20000
43,37.00000,26.00000,0.10000
43,37.00000,78.00000,0.32500
43,37.00000,28.00000,0.10000
43,37.00000,77.00000,0.12500
43,29.00000,72.00000,0.19048
43,29.00000,21.00000,0.38095
43,29.00000,71.00000,0.23810
43,29.00000,70.00000,0.04762
43,29.00000,20.00000,0.14286
43,33.00000,75.00000,0.21212
43,33.00000,23.00000,0.33333
43,33.00000,74.00000,0.15152
43,33.00000,76.00000,0.09091
43,33.00000,24.00000,0.21212
43,32.00000,74.00000,0.21429
43,32.00000,75.00000,0.32143
43,32.00000,23.00000,0.39286
43,32.00000,73.00000,0.07143
43,30.00000,73.00000,0.22222
43,30.00000,22.00000,0.07407
43,30.00000,72.00000,0.18519
43,30.00000,71.00000,0.11111
43,30.00000,21.00000,0.37037
43,30.00000,20.00000,0.03704
43,0.00000,1.00000,0.50000
43,0.00000,2.00000,0.50000
44,22.00000,60.00000,0.08000
44,22.00000,62.00000,0.16000
44,22.00000,58.00000,0.04000
44,22.00000,63.00000,0.12000
44,22.00000,17.00000,0.12000
44,22.00000,16.00000,0.16000
44,22.00000,15.00000,0.20000
44,22.00000,64.00000,0.08000
44,22.00000,57.00000,0.04000
44,2.00000,2.00000,0.42105
44,2.00000,7.00000,0.06579
44,2.00000,8.00000,0.06579
44,2.00000,9.00000,0.07895
44,2.00000,10.00000,0.11842
44,2.00000,11.00000,0.13158
44,2.00000,12.00000,0.03947
44,2.00000,13.00000,0.02632
44,2.00000,1.00000,0.03947
44,2.00000,6.00000,0.01316
44,19.00000,13.00000,0.36207
44,19.00000,59.00000,0.06897
44,19.00000,54.00000,0.03448
44,19.00000,14.00000,0.22414
44,19.00000,60.00000,0.01724
44,19.00000,57.00000,0.15517
44,19.00000,58.00000,0.12069
44,19.00000,15.00000,0.01724
44,92.00000,87.00000,0.15657
44,92.00000,98.00000,0.00505
44,92.00000,99.00000,0.48990
44,92.00000,88.00000,0.34848
44,51.00000,86.00000,0.25954
44,51.00000,40.00000,0.09924
44,51.00000,41.00000,0.09924
44,51.00000,39.00000,0.22901
44,51.00000,85.00000,0.11450
44,51.00000,87.00000,0.19084
44,51.00000,38.00000,0.00763
44,11.00000,8.00000,0.36196
44,11.00000,7.00000,0.20245
44,11.00000,44.00000,0.03067
44,11.00000,42.00000,0.17791
44,11.00000,41.00000,0.09816
44,11.00000,43.00000,0.06748
44,11.00000,40.00000,0.04908
44,11.00000,39.00000,0.00613
44,11.00000,9.00000,0.00613
44,61.00000,50.00000,0.13924
44,61.00000,91.00000,0.34177
44,61.00000,49.00000,0.27215
44,61.00000,51.00000,0.05696
44,61.00000,48.00000,0.01266
44,61.00000,90.00000,0.17722
44,9.00000,35.00000,0.09278
44,9.00000,36.00000,0.16495
44,9.00000,37.00000,0.14948
44,9.00000,38.00000,0.07732
44,9.00000,6.00000,0.31959
44,9.00000,7.00000,0.12887
44,9.00000,33.00000,0.01031
44,9.00000,34.00000,0.04124
44,9.00000,39.00000,0.01546
44,58.00000,89.00000,0.23077
44,58.00000,90.00000,0.27273
44,58.00000,46.00000,0.23776
44,58.00000,45.00000,0.07692
44,58.00000,47.00000,0.13287
44,58.00000,48.00000,0.04196
44,58.00000,88.00000,0.00699
44,13.00000,9.00000,0.53261
44,13.00000,48.00000,0.08152
44,13.00000,47.00000,0.16848
44,13.00000,46.00000,0.14130
44,13.00000,45.00000,0.05435
44,13.00000,8.00000,0.00543
44,13.00000,49.00000,0.01630
44,63.00000,92.00000,0.04698
44,63.00000,52.00000,0.15436
44,63.00000,51.00000,0.32215
44,63.00000,91.00000,0.40940
44,63.00000,53.00000,0.04027
44,63.00000,50.00000,0.02685
44,62.00000,50.00000,0.30968
44,62.00000,91.00000,0.45161
44,62.00000,90.00000,0.07742
44,62.00000,51.00000,0.13548
44,62.00000,52.00000,0.01290
44,62.00000,49.00000,0.01290
44,12.00000,45.00000,0.16471
44,12.00000,9.00000,0.14706
44,12.00000,44.00000,0.14706
44,12.00000,8.00000,0.35882
44,12.00000,43.00000,0.07647
44,12.00000,46.00000,0.07647
44,12.00000,42.00000,0.02353
44,12.00000,40.00000,0.00588
44,6.00000,27.00000,0.08451
44,6.00000,25.00000,0.10329
44,6.00000,24.00000,0.05634
44,6.00000,26.00000,0.11737
44,6.00000,4.00000,0.26761
44,6.00000,5.00000,0.20657
44,6.00000,22.00000,0.01408
44,6.00000,28.00000,0.06573
44,6.00000,23.00000,0.06103
44,6.00000,29.00000,0.02347
44,93.00000,90.00000,0.09633
44,93.00000,99.00000,0.47248
44,93.00000,89.00000,0.36239
44,93.00000,88.00000,0.06881
44,40.00000,80.00000,0.27160
44,40.00000,29.00000,0.22222
44,40.00000,30.00000,0.12346
44,40.00000,78.00000,0.09877
44,40.00000,31.00000,0.06173
44,40.00000,81.00000,0.12346
44,40.00000,32.00000,0.02469
44,40.00000,79.00000,0.07407
44,91.00000,98.00000,0.37736
44,91.00000,99.00000,0.09434
44,91.00000,86.00000,0.38365
44,91.00000,85.00000,0.03145
44,91.00000,87.00000,0.11321
44,89.00000,98.00000,0.45631
44,89.00000,84.00000,0.23301
44,89.00000,83.00000,0.27184
44,89.00000,82.00000,0.03883
44,47.00000,85.00000,0.19231
44,47.00000,37.00000,0.11538
44,47.00000,84.00000,0.19231
44,47.00000,83.00000,0.10577
44,47.00000,35.00000,0.18269
44,47.00000,36.00000,0.20192
44,47.00000,38.00000,0.00962
44,48.00000,36.00000,0.18966
44,48.00000,85.00000,0.33621
44,48.00000,37.00000,0.16379
